mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__n_estimators,param_classifier__max_depth,param_classifier__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
137.51836171150208,21.469881241136285,0.38220820426940916,0.03623638702341295,0.7,300,3,0.1,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 300, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1}",0.4684788884476353,0.4603474084201104,0.4642191000528831,0.46703069825621746,0.46187814343448014,0.4643908477222653,0.0030454382050501107,3
144.06972260475158,21.180014211178023,0.49173316955566404,0.019470351675634236,0.7,200,7,0.01,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 200, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.01}",0.3837794423092761,0.38232848008214154,0.3815641038596885,0.3875885935213792,0.381880713884156,0.38342826673132824,0.0022141001326535853,8
75.3531879901886,11.52518524297164,0.5338606357574462,0.1632711853325466,0.7,100,10,0.1,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 100, 'classifier__max_depth': 10, 'classifier__learning_rate': 0.1}",0.4990005514780286,0.49039906134883293,0.49334652029377984,0.49284545993538054,0.4917377212487469,0.49346586286095373,0.002946987121551929,2
67.88164038658142,8.226017918203905,0.3041697978973389,0.032845334500690236,0.7,100,3,0.1,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1}",0.40135681908967535,0.3962384941868641,0.3974806214896099,0.40080463944925515,0.39795102072117294,0.39876631898731546,0.00197853827994543,7
127.82585482597351,19.698231410292173,0.351499605178833,0.014831759064213969,0.7,300,3,0.05,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 300, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.05}",0.42230805388897785,0.41641624203047745,0.4136792309083118,0.4239214607376582,0.41445651724234067,0.4181563009615532,0.004176948180875491,6
104.12388615608215,17.44592412527089,0.3421581268310547,0.03785491892842008,0.7,200,3,0.01,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 200, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.01}",0.3739554857617583,0.36138114903394686,0.3727489169588391,0.3725768977446512,0.36963321491362966,0.370059132882565,0.0045660585591967805,10
124.31899337768554,21.593959439907966,0.48502464294433595,0.14992665947262934,0.7,300,5,0.1,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 300, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.1}",0.5038474049392624,0.49357845967855707,0.4970461799350967,0.49857936381730183,0.49507460004447024,0.49762520168293767,0.003545227622997322,1
130.86906924247742,14.269362954942302,0.46469979286193847,0.19650497433532363,0.7,300,5,0.05,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 300, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.05}",0.464917431991616,0.45828449865944876,0.45487048928587825,0.46319902212376335,0.45799001760827984,0.4598522919337972,0.0036769728257667906,5
59.369633531570436,8.884535165373354,0.3330241680145264,0.054499490144800766,0.7,100,7,0.1,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 100, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.1}",0.4641504370718111,0.46080142702764737,0.46019045915097806,0.4641722419538993,0.4618024500428431,0.46222340304943577,0.0016639417858518683,4
57.687330436706546,6.412406944105026,0.17915220260620118,0.03910316818918738,0.7,100,5,0.01,"{'classifier__subsample': 0.7, 'classifier__n_estimators': 100, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.01}",0.37944855061017996,0.36820176239269614,0.37633614263133064,0.3753850808579994,0.3726931036977433,0.37441292803798987,0.0037825310204048115,9
